,Date,Open,High,Low,Close,Volume,Turnover
0,2015-01-01,8272.8,8294.7,8248.75,8284.0,56560411,23218800000.0
1,2015-01-02,8288.7,8410.6,8288.7,8395.45,101887024,47157200000.0
2,2015-01-05,8407.95,8445.6,8363.9,8378.4,118160545,55255200000.0
3,2015-01-06,8325.3,8327.85,8111.35,8127.35,172799618,80891900000.0
4,2015-01-07,8118.65,8151.2,8065.45,8102.1,164075424,74643300000.0
5,2015-01-08,8191.4,8243.5,8167.3,8234.6,143802802,81474000000.0
6,2015-01-09,8285.45,8303.3,8190.8,8284.5,152612528,93059500000.0
7,2015-01-12,8291.35,8332.6,8245.6,8323.0,103153908,54377600000.0
8,2015-01-13,8346.15,8356.65,8267.9,8299.4,129561892,64992000000.0
9,2015-01-14,8307.25,8326.45,8236.65,8277.55,150621631,70209100000.0
10,2015-01-15,8424.5,8527.1,8380.55,8494.15,232138802,107000000000.0
11,2015-01-16,8504.05,8530.75,8452.25,8513.8,181365905,86905400000.0
12,2015-01-19,8550.05,8570.95,8531.5,8550.7,129346422,62925900000.0
13,2015-01-20,8575.1,8707.9,8574.5,8695.6,158713840,78381900000.0
14,2015-01-21,8719.65,8741.85,8689.6,8729.5,191651012,97359900000.0
15,2015-01-22,8745.85,8774.15,8727.0,8761.4,180912372,90259500000.0
16,2015-01-23,8827.95,8866.4,8795.4,8835.6,197124706,97165700000.0
17,2015-01-27,8871.35,8925.05,8825.45,8910.5,192010521,99883600000.0
18,2015-01-28,8902.75,8985.05,8874.05,8914.3,190805926,103000000000.0
19,2015-01-29,8901.5,8966.65,8861.25,8952.35,264245843,134000000000.0
20,2015-01-30,8996.6,8996.6,8775.1,8808.9,275587957,124000000000.0
21,2015-02-02,8802.5,8840.8,8751.1,8797.4,216556534,104000000000.0
22,2015-02-03,8823.15,8837.3,8726.65,8756.55,208672175,98881000000.0
23,2015-02-04,8789.15,8792.85,8704.4,8723.7,201252375,87078200000.0
24,2015-02-05,8733.1,8838.45,8683.65,8711.7,179008853,91261000000.0
25,2015-02-06,8696.85,8726.2,8645.55,8661.05,176554075,79121000000.0
26,2015-02-09,8584.4,8605.55,8516.35,8526.35,151329604,68631700000.0
27,2015-02-10,8478.1,8646.25,8470.5,8565.55,202294693,99657600000.0
28,2015-02-11,8603.3,8651.95,8593.65,8627.4,166560867,76024600000.0
29,2015-02-12,8676.95,8732.55,8599.25,8711.55,163681352,76698700000.0
30,2015-02-13,8741.5,8822.1,8729.65,8805.5,228807812,102000000000.0
31,2015-02-16,8831.4,8870.1,8793.4,8809.35,140637331,70473200000.0
32,2015-02-18,8811.55,8894.3,8808.9,8869.1,152152801,102000000000.0
33,2015-02-19,8883.05,8913.45,8794.45,8895.3,219867400,97942600000.0
34,2015-02-20,8895.5,8899.95,8816.3,8833.6,203714864,81935600000.0
35,2015-02-23,8856.85,8869.0,8736.1,8754.95,143932325,71710500000.0
36,2015-02-24,8772.9,8800.5,8726.75,8762.1,154368611,74133100000.0
37,2015-02-25,8801.9,8840.65,8751.4,8767.25,139406599,69867800000.0
38,2015-02-26,8779.0,8786.05,8669.45,8683.85,224185492,105000000000.0
39,2015-02-27,8729.5,8856.95,8717.45,8844.6,257226273,119000000000.0
40,2015-02-28,8913.05,8941.1,8751.35,8901.85,246453954,101000000000.0
41,2015-03-02,8953.85,8972.35,8885.45,8956.75,224772586,115000000000.0
42,2015-03-03,8962.85,9008.4,8925.55,8996.25,183251960,90336100000.0
43,2015-03-04,9109.15,9119.2,8893.95,8922.65,256060375,121000000000.0
44,2015-03-05,8929.4,8957.55,8849.35,8937.75,165081476,82505500000.0
45,2015-03-09,8891.15,8891.3,8740.45,8756.75,160332840,81324300000.0
46,2015-03-10,8769.75,8778.0,8677.35,8712.05,168916337,84023300000.0
47,2015-03-11,8728.75,8755.6,8682.35,8699.95,178053293,82596700000.0
48,2015-03-12,8740.65,8787.2,8732.9,8776.0,179337979,81844600000.0
49,2015-03-13,8844.05,8849.75,8631.75,8647.75,184665971,81212600000.0
50,2015-03-16,8656.75,8663.55,8612.0,8633.15,168438040,75599400000.0
51,2015-03-17,8689.1,8742.55,8630.8,8723.3,182504639,80862600000.0
52,2015-03-18,8742.9,8747.25,8664.0,8685.9,161153533,82275000000.0
53,2015-03-19,8749.45,8788.2,8614.65,8634.65,168628424,84603500000.0
54,2015-03-20,8627.9,8627.9,8553.0,8570.9,179982752,84842300000.0
55,2015-03-23,8591.55,8608.35,8540.55,8550.9,155425780,61954500000.0
56,2015-03-24,8537.05,8627.75,8535.85,8542.95,161465466,79132600000.0
57,2015-03-25,8568.9,8573.75,8516.55,8530.8,165952155,82000500000.0
58,2015-03-26,8474.95,8499.45,8325.35,8342.15,288758332,137000000000.0
59,2015-03-27,8396.0,8413.2,8269.15,8341.4,198979321,95288600000.0
60,2015-03-30,8390.95,8504.55,8380.75,8492.3,142061290,67132000000.0
61,2015-03-31,8527.6,8550.45,8454.15,8491.0,177059509,81083600000.0
62,2015-04-01,8483.7,8603.4,8464.75,8586.25,136312446,68630300000.0
63,2015-04-06,8615.8,8667.55,8573.75,8659.9,150877855,76330000000.0
64,2015-04-07,8684.45,8693.6,8586.85,8660.3,141765381,72870100000.0
65,2015-04-08,8698.95,8730.5,8679.8,8714.4,149617725,78896500000.0
66,2015-04-09,8756.2,8785.5,8682.45,8778.3,158192905,83911900000.0
67,2015-04-10,8774.35,8787.4,8733.6,8780.35,141464357,71199600000.0
68,2015-04-13,8801.75,8841.65,8762.1,8834.0,122833397,62427100000.0
69,2015-04-15,8844.75,8844.8,8722.4,8750.2,170458015,89082600000.0
70,2015-04-16,8757.05,8760.0,8645.65,8706.7,149337173,82683300000.0
71,2015-04-17,8698.05,8699.85,8596.7,8606.0,155474164,91343700000.0
72,2015-04-20,8618.8,8619.95,8422.75,8448.1,154492312,89303800000.0
73,2015-04-21,8416.1,8469.35,8352.7,8377.75,418959074,329000000000.0
74,2015-04-22,8400.4,8449.95,8284.7,8429.7,176926942,100000000000.0
75,2015-04-23,8478.2,8504.95,8361.85,8398.3,169840748,98013400000.0
76,2015-04-24,8405.7,8413.3,8273.35,8305.25,177843969,110000000000.0
77,2015-04-27,8330.55,8334.45,8202.35,8213.8,174706337,101000000000.0
78,2015-04-28,8215.55,8308.0,8185.15,8285.6,183754628,95601300000.0
79,2015-04-29,8274.8,8308.2,8219.2,8239.75,174958511,85719500000.0
80,2015-04-30,8224.5,8229.4,8144.75,8181.5,281696257,148000000000.0
81,2015-05-04,8230.05,8346.0,8220.45,8331.95,136913823,78561800000.0
82,2015-05-05,8338.4,8355.65,8280.6,8324.8,156019941,81385400000.0
83,2015-05-06,8316.6,8331.95,8083.0,8097.0,212509839,109000000000.0
84,2015-05-07,8077.0,8122.6,7997.15,8057.3,166563657,84439600000.0
85,2015-05-08,8131.5,8224.95,8123.45,8191.5,188776090,89613300000.0
86,2015-05-11,8243.2,8332.75,8224.65,8325.25,197882948,83961200000.0
87,2015-05-12,8326.15,8326.65,8115.3,8126.95,178753978,87795300000.0
88,2015-05-13,8181.55,8254.95,8089.8,8235.45,175015183,83919300000.0
89,2015-05-14,8232.45,8236.25,8137.3,8224.2,138964395,67637200000.0
90,2015-05-15,8240.3,8279.2,8212.2,8262.35,133838055,64636400000.0
91,2015-05-18,8284.95,8384.6,8271.95,8373.65,153340463,74591800000.0
92,2015-05-19,8356.2,8427.8,8335.0,8365.65,144642344,72665200000.0
93,2015-05-20,8392.65,8440.35,8391.45,8423.25,127388797,61514400000.0
94,2015-05-21,8434.5,8446.35,8382.5,8421.0,148189485,76416000000.0
95,2015-05-22,8432.5,8489.55,8420.6,8458.95,193080657,82616900000.0
96,2015-05-25,8438.15,8441.95,8364.15,8370.25,125051166,55552900000.0
97,2015-05-26,8377.1,8378.9,8320.05,8339.35,120428892,59083000000.0
98,2015-05-27,8302.75,8342.85,8277.95,8334.6,170583401,81315900000.0
99,2015-05-28,8345.7,8364.5,8270.15,8319.0,239549060,114000000000.0
100,2015-05-29,8327.1,8443.9,8305.7,8433.65,375232198,207000000000.0
101,2015-06-01,8417.25,8467.15,8405.4,8433.4,125990614,72540100000.0
